id,timestamp,beacon_id,est_x,est_y,pi_ids_used,actual_x,actual_y,obs_x,obs_y,kf_x,kf_y,calc_method,user_name,job_title,department,status
529,2025-11-25 02:18:00,1AFD3201-5C66-4F98-A201-B778A7FF0912,5332.000,2457.000,"7,1,3",4835.000,3115.000,5311.0,2972.0,5332.0,3370.0,SHAPELY,ゲスト,unknown,other,available
528,2025-11-25 02:17:40,1A7BFF5E-BAE7-462D-978E-574155DF4F85,650.000,6665.000,"8,3,7",3035.000,6230.000,4867.0,5357.0,-290.0,6665.0,SHAPELY,Dazzy,manager,dev_team,available
527,2025-11-25 02:17:30,1AFD3201-5C66-4F98-A201-B778A7FF0912,5425.000,2457.000,"7,1,3",4835.000,3115.000,5304.0,2955.0,5425.0,3516.0,SHAPELY,ゲスト,unknown,other,available
526,2025-11-25 02:17:10,1A7BFF5E-BAE7-462D-978E-574155DF4F85,650.000,6992.000,"8,3,7",3035.000,6230.000,4873.0,5307.0,-42.0,6992.0,SHAPELY,Dazzy,manager,dev_team,available
525,2025-11-25 02:16:57,1AFD3201-5C66-4F98-A201-B778A7FF0912,5027.000,2457.000,"7,1,3",4835.000,3115.000,5342.0,3050.0,5027.0,3526.0,SHAPELY,ゲスト,unknown,other,available
524,2025-11-25 02:16:40,1A7BFF5E-BAE7-462D-978E-574155DF4F85,650.000,7269.000,"8,3,7",3035.000,6230.000,4974.0,5247.0,225.0,7269.0,SHAPELY,Dazzy,manager,dev_team,available
523,2025-11-25 02:16:27,1AFD3201-5C66-4F98-A201-B778A7FF0912,5312.000,2457.000,"7,1,3",4835.000,3115.000,5296.0,2955.0,5312.0,3243.0,SHAPELY,ゲスト,unknown,other,available
522,2025-11-25 02:16:10,1A7BFF5E-BAE7-462D-978E-574155DF4F85,740.000,7303.000,"8,3,7",3035.000,6230.000,4835.0,5294.0,740.0,7303.0,SHAPELY,Dazzy,manager,dev_team,available
521,2025-11-25 02:15:56,1AFD3201-5C66-4F98-A201-B778A7FF0912,5099.000,2457.000,"7,1,3",4835.000,3115.000,5309.0,2968.0,5099.0,3366.0,SHAPELY,ゲスト,unknown,other,available
520,2025-11-25 02:15:40,1A7BFF5E-BAE7-462D-978E-574155DF4F85,700.000,7613.000,"8,3,7",3035.000,6230.000,4835.0,5368.0,700.0,7613.0,SHAPELY,Dazzy,manager,dev_team,available
519,2025-11-25 02:15:23,1AFD3201-5C66-4F98-A201-B778A7FF0912,5735.000,3135.000,"7,1,3",4835.000,3115.000,5310.0,2989.0,5677.0,2982.0,SHAPELY,ゲスト,unknown,other,available
518,2025-11-25 02:15:10,1A7BFF5E-BAE7-462D-978E-574155DF4F85,699.000,6095.000,"8,3,7",3035.000,6230.000,4848.0,5394.0,699.0,6095.0,SHAPELY,Dazzy,manager,dev_team,available
517,2025-11-25 02:14:49,1AFD3201-5C66-4F98-A201-B778A7FF0912,4922.000,2753.000,"7,1,3",4835.000,3115.000,5349.0,3066.0,4922.0,2753.0,SHAPELY,ゲスト,unknown,other,available
516,2025-11-25 02:14:40,1A7BFF5E-BAE7-462D-978E-574155DF4F85,505.000,5543.000,"8,3,7",3035.000,6230.000,4836.0,5352.0,505.0,5543.0,SHAPELY,Dazzy,manager,dev_team,available
515,2025-11-25 02:14:16,1AFD3201-5C66-4F98-A201-B778A7FF0912,4935.000,2216.000,"7,1,3",4835.000,3115.000,5281.0,2899.0,4935.0,2216.0,SHAPELY,ゲスト,unknown,other,available
514,2025-11-25 02:14:10,1A7BFF5E-BAE7-462D-978E-574155DF4F85,1240.000,5790.000,"8,3,7",3035.000,6230.000,4835.0,5342.0,1010.0,6022.0,SHAPELY,Dazzy,manager,dev_team,available
513,2025-11-25 02:13:45,1AFD3201-5C66-4F98-A201-B778A7FF0912,5283.000,2764.000,"7,1,3",4835.000,3115.000,5295.0,2930.0,5283.0,2764.0,SHAPELY,ゲスト,unknown,other,available
512,2025-11-25 02:13:40,1A7BFF5E-BAE7-462D-978E-574155DF4F85,1240.000,5790.000,"8,3,7",3035.000,6230.000,4834.0,5396.0,1347.0,5781.0,SHAPELY,Dazzy,manager,dev_team,available
511,2025-11-25 02:13:14,1AFD3201-5C66-4F98-A201-B778A7FF0912,5718.000,2607.000,"7,1,3",4835.000,3115.000,5295.0,2934.0,5718.0,2607.0,SHAPELY,ゲスト,unknown,other,available
510,2025-11-25 02:13:10,1A7BFF5E-BAE7-462D-978E-574155DF4F85,1240.000,6390.000,"8,3,7",3035.000,6230.000,4835.0,5328.0,1135.0,6259.0,SHAPELY,Dazzy,manager,dev_team,available
509,2025-11-25 02:12:43,1AFD3201-5C66-4F98-A201-B778A7FF0912,5735.000,3135.000,"7,1,3",4835.000,3115.000,5315.0,2982.0,5600.0,3054.0,SHAPELY,ゲスト,unknown,other,available
508,2025-11-25 02:12:40,1A7BFF5E-BAE7-462D-978E-574155DF4F85,1240.000,6390.000,"8,3,7",3035.000,6230.000,4835.0,5239.0,1414.0,6223.0,SHAPELY,Dazzy,manager,dev_team,available
507,2025-11-25 02:12:12,1AFD3201-5C66-4F98-A201-B778A7FF0912,5085.000,2627.000,"7,1,3",4835.000,3115.000,5283.0,2905.0,5085.0,2627.0,SHAPELY,ゲスト,unknown,other,available
506,2025-11-25 02:12:10,1A7BFF5E-BAE7-462D-978E-574155DF4F85,650.000,6095.000,"8,3,7",3035.000,6230.000,4886.0,5436.0,1539.0,6095.0,SHAPELY,Dazzy,manager,dev_team,available
505,2025-11-25 02:11:41,1AFD3201-5C66-4F98-A201-B778A7FF0912,5431.000,2457.000,"7,1,3",4835.000,3115.000,5300.0,2945.0,5431.0,3334.0,SHAPELY,ゲスト,unknown,other,available
